feedback_id,atendimento_id,data_feedback,socorrista_id,nps_score,feedback_texto,tipo_problema
FB001,AT0001,15/05/2026,SOC001,9,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB002,AT0002,15/01/2026,SOC002,8,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB003,AT0003,25/07/2026,SOC003,10,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB004,AT0004,04/03/2026,SOC004,6,Houve pequena demora para localizar o hospital.,Demora no atendimento
FB005,AT0005,27/05/2026,SOC005,9,Procedimento realizado de forma segura.,Nenhum problema
FB006,AT0006,20/02/2026,SOC006,7,Atendimento adequado apesar da espera.,Demora no atendimento
FB007,AT0007,13/08/2026,SOC007,10,Resposta rápida e comunicação clara.,Nenhum problema
FB008,AT0008,16/05/2026,SOC008,5,Faltou equipamento durante o atendimento.,Falta de equipamento
FB009,AT0009,14/06/2026,SOC009,8,Equipe preparada para situação crítica.,Nenhum problema
FB010,AT0010,29/04/2026,SOC010,9,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB011,AT0011,22/08/2026,SOC011,3,Ocorrência apresentou atraso significativo.,Demora no atendimento
FB012,AT0012,28/07/2026,SOC012,9,Boa integração entre as equipes.,Nenhum problema
FB013,AT0013,27/07/2026,SOC013,8,Atendimento organizado e seguro.,Nenhum problema
FB014,AT0014,15/08/2026,SOC014,4,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB015,AT0015,29/05/2026,SOC015,10,Equipe demonstrou excelente preparo.,Nenhum problema
FB016,AT0016,11/06/2026,SOC016,7,Atendimento ocorreu sem complicações.,Nenhum problema
FB017,AT0017,28/05/2026,SOC017,9,Tempo de resposta foi satisfatório.,Nenhum problema
FB018,AT0018,13/02/2026,SOC018,2,Paciente não resistiu aos ferimentos.,Morte acidental
FB019,AT0019,09/07/2026,SOC019,8,Suporte adequado durante todo o atendimento.,Nenhum problema
FB020,AT0020,22/07/2026,SOC020,6,Demora para liberar leito hospitalar.,Demora no atendimento
FB021,AT0021,28/04/2026,SOC021,9,Equipe atuou rapidamente no local.,Nenhum problema
FB022,AT0022,21/04/2026,SOC022,8,Comunicação entre socorristas foi boa.,Nenhum problema
FB023,AT0023,13/03/2026,SOC023,5,Equipamento necessário não estava disponível.,Falta de equipamento
FB024,AT0024,07/03/2026,SOC024,10,Atendimento excelente do início ao fim.,Nenhum problema
FB025,AT0025,22/06/2026,SOC025,7,Houve espera moderada no hospital.,Demora no atendimento
FB026,AT0026,17/04/2026,SOC026,9,Equipe demonstrou grande eficiência.,Nenhum problema
FB027,AT0027,28/04/2026,SOC027,4,Informações do chamado estavam incompletas.,Falha de comunicação
FB028,AT0028,19/05/2026,SOC028,8,Procedimento ocorreu conforme planejado.,Nenhum problema
FB029,AT0029,02/06/2026,SOC029,1,Paciente sofreu morte acidental no local.,Morte acidental
FB030,AT0030,24/02/2026,SOC030,9,Atendimento rápido e organizado.,Nenhum problema
FB031,AT0031,18/02/2026,SOC031,8,Equipe chegou dentro do tempo esperado.,Nenhum problema
FB032,AT0032,20/07/2026,SOC032,6,Deslocamento apresentou atraso.,Demora no atendimento
FB033,AT0033,21/08/2026,SOC033,10,Excelente coordenação da ocorrência.,Nenhum problema
FB034,AT0034,25/02/2026,SOC034,7,Atendimento foi adequado ao caso.,Nenhum problema
FB035,AT0035,07/06/2026,SOC035,5,Houve problema com equipamento médico.,Falta de equipamento
FB036,AT0036,16/05/2026,SOC036,9,Boa resposta da equipe de emergência.,Nenhum problema
FB037,AT0037,03/06/2026,SOC037,8,Encaminhamento ocorreu sem dificuldades.,Nenhum problema
FB038,AT0038,18/02/2026,SOC038,3,Comunicação com a central foi prejudicada.,Falha de comunicação
FB039,AT0039,07/04/2026,SOC039,10,Equipe muito eficiente durante a ocorrência.,Nenhum problema
FB040,AT0040,18/08/2026,SOC040,7,Pequena espera na entrada hospitalar.,Demora no atendimento
FB041,AT0041,23/08/2026,SOC041,9,Atendimento realizado com segurança.,Nenhum problema
FB042,AT0042,01/02/2026,SOC042,6,Faltaram informações sobre o paciente.,Falha de comunicação
FB043,AT0043,08/06/2026,SOC043,8,Boa atuação em situação de emergência.,Nenhum problema
FB044,AT0044,08/07/2026,SOC044,2,Paciente não resistiu ao trauma.,Morte acidental
FB045,AT0045,16/06/2026,SOC045,9,Equipe conseguiu estabilizar o paciente.,Nenhum problema
FB046,AT0046,18/06/2026,SOC046,8,Resposta rápida ao chamado.,Nenhum problema
FB047,AT0047,02/07/2026,SOC047,5,A ambulância apresentou falta de material.,Falta de equipamento
FB048,AT0048,16/06/2026,SOC048,10,Excelente atendimento e suporte.,Nenhum problema
FB049,AT0049,08/04/2026,SOC049,7,Tempo de chegada poderia ser menor.,Demora no atendimento
FB050,AT0050,29/07/2026,SOC050,9,Equipe demonstrou ótimo preparo.,Nenhum problema
FB051,AT0051,12/06/2026,SOC051,8,Atendimento organizado e tranquilo.,Nenhum problema
FB052,AT0052,07/08/2026,SOC052,4,Houve ruído na comunicação com o hospital.,Falha de comunicação
FB053,AT0053,04/04/2026,SOC053,9,Equipe chegou rapidamente ao local.,Nenhum problema
FB054,AT0054,18/02/2026,SOC054,6,Espera hospitalar acima do esperado.,Demora no atendimento
FB055,AT0055,28/08/2026,SOC055,10,Excelente resposta em caso grave.,Nenhum problema
FB056,AT0056,27/08/2026,SOC056,7,Atendimento ocorreu conforme protocolo.,Nenhum problema
FB057,AT0057,19/02/2026,SOC057,3,Houve atraso na chegada da equipe.,Demora no atendimento
FB058,AT0058,12/08/2026,SOC058,8,Boa comunicação durante o transporte.,Nenhum problema
FB059,AT0059,20/01/2026,SOC059,1,Paciente faleceu após acidente grave.,Morte acidental
FB060,AT0060,15/08/2026,SOC060,9,Equipe conseguiu agir rapidamente.,Nenhum problema
FB061,AT0061,27/06/2026,SOC061,8,Atendimento satisfatório e seguro.,Nenhum problema
FB062,AT0062,23/02/2026,SOC062,6,Houve demora para receber o paciente.,Demora no atendimento
FB063,AT0063,06/04/2026,SOC063,10,Excelente coordenação da equipe.,Nenhum problema
FB064,AT0064,02/04/2026,SOC064,5,Material necessário estava indisponível.,Falta de equipamento
FB065,AT0065,21/08/2026,SOC065,9,Paciente encaminhado rapidamente.,Nenhum problema
FB066,AT0066,06/04/2026,SOC066,7,Atendimento adequado ao quadro clínico.,Nenhum problema
FB067,AT0067,02/03/2026,SOC067,8,Boa comunicação com a central.,Nenhum problema
FB068,AT0068,01/02/2026,SOC068,4,Informações do hospital demoraram a chegar.,Falha de comunicação
FB069,AT0069,19/02/2026,SOC069,9,Equipe muito bem preparada.,Nenhum problema
FB070,AT0070,09/06/2026,SOC070,6,Transporte demorou mais que o esperado.,Demora no atendimento
FB071,AT0071,04/02/2026,SOC071,10,Atendimento excelente e rápido.,Nenhum problema
FB072,AT0072,16/05/2026,SOC072,8,Boa atuação durante o resgate.,Nenhum problema
FB073,AT0073,14/02/2026,SOC073,5,Faltou um equipamento específico.,Falta de equipamento
FB074,AT0074,17/02/2026,SOC074,9,Ocorrência resolvida com eficiência.,Nenhum problema
FB075,AT0075,20/05/2026,SOC075,2,Paciente faleceu devido aos ferimentos.,Morte acidental
FB076,AT0076,20/02/2026,SOC076,7,Equipe prestou atendimento adequado.,Nenhum problema
FB077,AT0077,12/02/2026,SOC077,9,Resposta rápida ao chamado.,Nenhum problema
FB078,AT0078,31/01/2026,SOC078,6,Houve espera para liberação do leito.,Demora no atendimento
FB079,AT0079,09/06/2026,SOC079,8,Boa integração entre socorristas.,Nenhum problema
FB080,AT0080,28/02/2026,SOC080,10,Atendimento muito eficiente.,Nenhum problema
FB081,AT0081,29/07/2026,SOC081,4,Central passou informação incorreta.,Falha de comunicação
FB082,AT0082,11/01/2026,SOC082,9,Equipe atuou com rapidez.,Nenhum problema
FB083,AT0083,29/05/2026,SOC083,8,Transporte ocorreu normalmente.,Nenhum problema
FB084,AT0084,21/07/2026,SOC084,3,Atraso prejudicou o atendimento inicial.,Demora no atendimento
FB085,AT0085,23/05/2026,SOC085,10,Excelente atendimento da equipe.,Nenhum problema
FB086,AT0086,14/03/2026,SOC086,7,Atendimento ocorreu sem intercorrências.,Nenhum problema
FB087,AT0087,04/07/2026,SOC087,5,Faltaram alguns materiais básicos.,Falta de equipamento
FB088,AT0088,09/05/2026,SOC088,9,Equipe demonstrou profissionalismo.,Nenhum problema
FB089,AT0089,23/03/2026,SOC089,1,Paciente faleceu antes do transporte.,Morte acidental
FB090,AT0090,25/03/2026,SOC090,8,Boa resposta no atendimento.,Nenhum problema
FB091,AT0091,02/06/2026,SOC091,9,Atendimento rápido e eficiente.,Nenhum problema
FB092,AT0092,09/04/2026,SOC092,6,Houve atraso no recebimento hospitalar.,Demora no atendimento
FB093,AT0093,14/05/2026,SOC093,8,Comunicação clara durante a ocorrência.,Nenhum problema
FB094,AT0094,29/03/2026,SOC094,4,Contato com a central foi instável.,Falha de comunicação
FB095,AT0095,01/07/2026,SOC095,10,Excelente trabalho da equipe.,Nenhum problema
FB096,AT0096,06/05/2026,SOC096,7,Atendimento dentro do esperado.,Nenhum problema
FB097,AT0097,22/06/2026,SOC097,5,Equipamento apresentou problema durante o atendimento.,Falta de equipamento
FB098,AT0098,05/08/2026,SOC098,9,Paciente recebeu suporte adequado.,Nenhum problema
FB099,AT0099,21/01/2026,SOC099,2,Ocorrência terminou com morte acidental.,Morte acidental
FB100,AT0100,15/04/2026,SOC100,8,Boa condução do atendimento.,Nenhum problema
FB101,AT0101,17/01/2026,SOC101,10,Equipe chegou rapidamente ao local.,Nenhum problema
FB102,AT0102,06/08/2026,SOC102,7,Houve pequena demora no deslocamento.,Demora no atendimento
FB103,AT0103,14/02/2026,SOC103,9,Excelente comunicação entre as equipes.,Nenhum problema
FB104,AT0104,04/04/2026,SOC104,6,Atendimento poderia ter sido mais rápido.,Demora no atendimento
FB105,AT0105,14/08/2026,SOC105,8,Procedimentos realizados corretamente.,Nenhum problema
FB106,AT0106,05/04/2026,SOC106,5,Faltou material para imobilização.,Falta de equipamento
FB107,AT0107,21/04/2026,SOC107,9,Equipe muito preparada.,Nenhum problema
FB108,AT0108,15/06/2026,SOC108,3,Houve falha no repasse de informações.,Falha de comunicação
FB109,AT0109,07/06/2026,SOC109,10,Atendimento excelente.,Nenhum problema
FB110,AT0110,30/04/2026,SOC110,8,Transporte realizado sem problemas.,Nenhum problema
FB111,AT0111,03/04/2026,SOC111,6,Hospital demorou para receber o paciente.,Demora no atendimento
FB112,AT0112,03/06/2026,SOC112,9,Boa atuação durante toda a ocorrência.,Nenhum problema
FB113,AT0113,01/02/2026,SOC113,7,Equipe conseguiu controlar a situação.,Nenhum problema
FB114,AT0114,21/08/2026,SOC114,1,Paciente sofreu morte acidental.,Morte acidental
FB115,AT0115,22/05/2026,SOC115,10,Resposta muito rápida e eficiente.,Nenhum problema
FB116,AT0116,12/06/2026,SOC116,8,Atendimento bem coordenado.,Nenhum problema
FB117,AT0117,06/07/2026,SOC117,5,Houve falta de equipamento no veículo.,Falta de equipamento
FB118,AT0118,02/07/2026,SOC118,9,Boa comunicação durante o transporte.,Nenhum problema
FB119,AT0119,24/07/2026,SOC119,4,Informações chegaram com atraso.,Falha de comunicação
FB120,AT0120,15/01/2026,SOC120,7,Atendimento satisfatório.,Nenhum problema
FB121,AT0121,29/03/2026,SOC121,9,Equipe realizou ótimo atendimento.,Nenhum problema
FB122,AT0122,08/08/2026,SOC122,8,Ocorrência resolvida rapidamente.,Nenhum problema
FB123,AT0123,24/08/2026,SOC123,6,Tempo de espera hospitalar elevado.,Demora no atendimento
FB124,AT0124,12/04/2026,SOC124,10,Excelente suporte durante o caso.,Nenhum problema
FB125,AT0125,02/07/2026,SOC125,3,Houve falha na comunicação com a central.,Falha de comunicação
FB126,AT0126,25/02/2026,SOC126,9,Equipe bem preparada para o atendimento.,Nenhum problema
FB127,AT0127,28/08/2026,SOC127,7,Atendimento ocorreu normalmente.,Nenhum problema
FB128,AT0128,22/07/2026,SOC128,2,Paciente não resistiu ao acidente.,Morte acidental
FB129,AT0129,22/08/2026,SOC129,8,Boa resposta da equipe.,Nenhum problema
FB130,AT0130,21/06/2026,SOC130,5,Equipamento necessário estava indisponível.,Falta de equipamento
FB131,AT0131,20/06/2026,SOC131,10,Atendimento rápido e preciso.,Nenhum problema
FB132,AT0132,15/05/2026,SOC132,6,Houve atraso no deslocamento.,Demora no atendimento
FB133,AT0133,30/03/2026,SOC133,9,Boa integração com o hospital.,Nenhum problema
FB134,AT0134,16/07/2026,SOC134,8,Equipe manteve boa comunicação.,Nenhum problema
FB135,AT0135,05/04/2026,SOC135,4,Chamado apresentou informações insuficientes.,Falha de comunicação
FB136,AT0136,26/04/2026,SOC136,9,Atendimento eficiente e seguro.,Nenhum problema
FB137,AT0137,24/01/2026,SOC137,7,Procedimento realizado adequadamente.,Nenhum problema
FB138,AT0138,14/07/2026,SOC138,1,Paciente faleceu no local da ocorrência.,Morte acidental
FB139,AT0139,02/02/2026,SOC139,8,Equipe chegou dentro do prazo.,Nenhum problema
FB140,AT0140,07/02/2026,SOC140,5,Faltaram materiais durante o atendimento.,Falta de equipamento
FB141,AT0141,11/03/2026,SOC141,10,Excelente atuação dos socorristas.,Nenhum problema
FB142,AT0142,29/05/2026,SOC142,8,Atendimento ocorreu sem dificuldades.,Nenhum problema
FB143,AT0143,19/03/2026,SOC143,6,Houve espera para atendimento hospitalar.,Demora no atendimento
FB144,AT0144,02/01/2026,SOC144,9,Comunicação eficiente com a central.,Nenhum problema
FB145,AT0145,11/04/2026,SOC145,3,Informações do hospital estavam desencontradas.,Falha de comunicação
FB146,AT0146,17/08/2026,SOC146,7,Equipe prestou suporte adequado.,Nenhum problema
FB147,AT0147,07/07/2026,SOC147,9,Resposta rápida e organizada.,Nenhum problema
FB148,AT0148,16/01/2026,SOC148,2,Morte decorrente de acidente grave.,Morte acidental
FB149,AT0149,02/03/2026,SOC149,8,Transporte realizado corretamente.,Nenhum problema
FB150,AT0150,30/06/2026,SOC150,5,Faltou equipamento de suporte.,Falta de equipamento
FB151,AT0151,07/03/2026,SOC151,9,Equipe demonstrou excelente preparo.,Nenhum problema
FB152,AT0152,07/01/2026,SOC152,7,Atendimento foi satisfatório.,Nenhum problema
FB153,AT0153,16/03/2026,SOC153,6,Tempo de resposta poderia melhorar.,Demora no atendimento
FB154,AT0154,20/02/2026,SOC154,10,Excelente coordenação da ocorrência.,Nenhum problema
FB155,AT0155,05/05/2026,SOC155,4,Houve dificuldade para contato com o hospital.,Falha de comunicação
FB156,AT0156,06/07/2026,SOC156,8,Atendimento seguro e organizado.,Nenhum problema
FB157,AT0157,17/02/2026,SOC157,9,Equipe respondeu rapidamente.,Nenhum problema
FB158,AT0158,28/01/2026,SOC158,5,Faltou material médico durante a ocorrência.,Falta de equipamento
FB159,AT0159,22/04/2026,SOC159,2,Paciente morreu após acidente grave.,Morte acidental
FB160,AT0160,16/08/2026,SOC160,7,Atendimento dentro do esperado.,Nenhum problema
